/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 788
global_step=3002, episodic_return=[-347.54669283]
global_step=4003, episodic_return=[-463.45546667]
SPS: 829
global_step=5004, episodic_return=[-367.37123041]
global_step=6005, episodic_return=[-349.99381643]
SPS: 842
global_step=7006, episodic_return=[-326.44157735]
global_step=8007, episodic_return=[-455.53182083]
SPS: 849
global_step=9008, episodic_return=[-321.05359045]
global_step=10009, episodic_return=[-317.79721395]
SPS: 854
global_step=11010, episodic_return=[-405.74135531]
global_step=12011, episodic_return=[-302.26735842]
SPS: 857
global_step=13012, episodic_return=[-280.9745919]
global_step=14013, episodic_return=[-301.03069495]
SPS: 859
global_step=15014, episodic_return=[-386.03742915]
global_step=16015, episodic_return=[-295.28980544]
SPS: 860
global_step=17016, episodic_return=[-323.77753231]
global_step=18017, episodic_return=[-277.90692397]
SPS: 861
global_step=19018, episodic_return=[-232.71271729]
global_step=20019, episodic_return=[-346.09181678]
SPS: 863
global_step=21020, episodic_return=[-290.10404463]
global_step=22021, episodic_return=[-277.86934606]
SPS: 863
global_step=23022, episodic_return=[-234.70522003]
global_step=24023, episodic_return=[-300.19415996]
SPS: 864
global_step=25024, episodic_return=[-302.2284208]
global_step=26025, episodic_return=[-206.51888475]
SPS: 864
global_step=27026, episodic_return=[-286.82802295]
global_step=28027, episodic_return=[-278.16386086]
SPS: 863
global_step=29028, episodic_return=[-199.6625962]
global_step=30029, episodic_return=[-193.16668655]
SPS: 862
global_step=31030, episodic_return=[-259.31024219]
global_step=32031, episodic_return=[-264.60384501]
SPS: 862
global_step=33032, episodic_return=[-273.72443771]
global_step=34033, episodic_return=[-255.11954099]
SPS: 861
global_step=35034, episodic_return=[-163.16317724]
global_step=36035, episodic_return=[-176.39238258]
SPS: 859
global_step=37036, episodic_return=[-220.83928762]
global_step=38037, episodic_return=[-127.30292926]
SPS: 856
global_step=39038, episodic_return=[-107.30996916]
global_step=40039, episodic_return=[-126.23980139]
SPS: 854
global_step=41040, episodic_return=[-126.80104524]
global_step=42041, episodic_return=[-133.01499848]
SPS: 852
global_step=43042, episodic_return=[-136.26389648]
global_step=44043, episodic_return=[-114.29334658]
global_step=45044, episodic_return=[-119.44764346]
SPS: 850
global_step=46045, episodic_return=[-99.02387847]
global_step=47046, episodic_return=[-200.15890411]
SPS: 849
global_step=48047, episodic_return=[-87.94652217]
global_step=49048, episodic_return=[-66.57712302]
SPS: 849
global_step=50049, episodic_return=[-46.63912653]
global_step=51050, episodic_return=[-143.89571778]
SPS: 850
global_step=52051, episodic_return=[-162.61834597]
global_step=53052, episodic_return=[-27.62302595]
SPS: 850
global_step=54053, episodic_return=[16.86542046]
global_step=55054, episodic_return=[-35.53086496]
SPS: 850
global_step=56055, episodic_return=[-40.11183452]
global_step=57056, episodic_return=[25.60335327]
SPS: 851
global_step=58057, episodic_return=[20.12496275]
global_step=59058, episodic_return=[-72.93281458]
SPS: 852
global_step=60059, episodic_return=[-290.13008826]
global_step=61060, episodic_return=[65.05929592]
SPS: 853
global_step=62061, episodic_return=[-46.75376149]
global_step=63062, episodic_return=[142.72485008]
SPS: 853
global_step=64063, episodic_return=[83.15856223]
global_step=65064, episodic_return=[129.14494893]
SPS: 852
global_step=66065, episodic_return=[58.62662543]
global_step=67066, episodic_return=[23.5378314]
SPS: 853
global_step=68067, episodic_return=[30.32130624]
global_step=69068, episodic_return=[26.1874559]
SPS: 853
global_step=70069, episodic_return=[149.0409639]
global_step=71070, episodic_return=[119.94486236]
SPS: 854
global_step=72071, episodic_return=[76.47154327]
global_step=73072, episodic_return=[113.88610215]
SPS: 853
global_step=74073, episodic_return=[142.13109979]
global_step=75074, episodic_return=[175.53798891]
SPS: 853
global_step=76075, episodic_return=[8.38669553]
global_step=77076, episodic_return=[228.17162512]
SPS: 854
global_step=78077, episodic_return=[118.70448864]
global_step=79078, episodic_return=[264.59287443]
SPS: 854
global_step=80079, episodic_return=[228.41694766]
global_step=81080, episodic_return=[190.42635446]
SPS: 853
global_step=82081, episodic_return=[179.65538446]
global_step=83082, episodic_return=[243.1454942]
SPS: 852
global_step=84083, episodic_return=[200.92810594]
global_step=85084, episodic_return=[183.64879488]
SPS: 851
global_step=86085, episodic_return=[183.94449127]
global_step=87086, episodic_return=[254.42757146]
SPS: 850
global_step=88087, episodic_return=[285.66685754]
global_step=89088, episodic_return=[264.02857119]
global_step=90089, episodic_return=[307.7138167]
SPS: 850
global_step=91090, episodic_return=[322.09086724]
global_step=92091, episodic_return=[244.50279832]
SPS: 850
global_step=93092, episodic_return=[335.55276067]
global_step=94093, episodic_return=[255.0315725]
SPS: 850
global_step=95094, episodic_return=[357.70156399]
global_step=96095, episodic_return=[364.39640662]
SPS: 851
global_step=97096, episodic_return=[315.31253686]
global_step=98097, episodic_return=[286.64772102]
SPS: 851
global_step=99098, episodic_return=[366.25707038]
global_step=100099, episodic_return=[415.6481326]
SPS: 851
global_step=101100, episodic_return=[384.58967323]
global_step=102101, episodic_return=[340.33261916]
SPS: 852
global_step=103102, episodic_return=[360.93881106]
global_step=104103, episodic_return=[365.22229097]
SPS: 852
global_step=105104, episodic_return=[390.48114174]
global_step=106105, episodic_return=[392.87467031]
SPS: 852
global_step=107106, episodic_return=[345.23873632]
global_step=108107, episodic_return=[466.06163464]
SPS: 851
global_step=109108, episodic_return=[362.90144242]
global_step=110109, episodic_return=[461.60580715]
SPS: 850
global_step=111110, episodic_return=[439.62193512]
global_step=112111, episodic_return=[457.49691302]
SPS: 850
global_step=113112, episodic_return=[522.00947247]
global_step=114113, episodic_return=[360.17799874]
SPS: 850
global_step=115114, episodic_return=[514.3965443]
global_step=116115, episodic_return=[400.1269814]
SPS: 850
global_step=117116, episodic_return=[368.17054879]
global_step=118117, episodic_return=[566.39215817]
SPS: 850
global_step=119118, episodic_return=[408.49518176]
global_step=120119, episodic_return=[500.9904969]
SPS: 850
global_step=121120, episodic_return=[496.18325696]
global_step=122121, episodic_return=[541.73944786]
SPS: 850
global_step=123122, episodic_return=[485.74465457]
global_step=124123, episodic_return=[434.24545317]
SPS: 850
global_step=125124, episodic_return=[466.12296953]
global_step=126125, episodic_return=[477.09893766]
SPS: 850
global_step=127126, episodic_return=[564.66833513]
global_step=128127, episodic_return=[578.00849087]
SPS: 851
global_step=129128, episodic_return=[497.61452108]
global_step=130129, episodic_return=[632.84634543]
SPS: 851
global_step=131130, episodic_return=[597.82762714]
global_step=132131, episodic_return=[621.46049203]
SPS: 851
global_step=133132, episodic_return=[589.4946431]
global_step=134133, episodic_return=[463.4802485]
global_step=135134, episodic_return=[573.39058933]
SPS: 851
global_step=136135, episodic_return=[589.48968033]
global_step=137136, episodic_return=[673.62064911]
SPS: 852
global_step=138137, episodic_return=[631.94744624]
global_step=139138, episodic_return=[639.04125813]
SPS: 852
global_step=140139, episodic_return=[632.84305477]
global_step=141140, episodic_return=[561.20010522]
SPS: 852
global_step=142141, episodic_return=[634.62676948]
global_step=143142, episodic_return=[700.71466933]
SPS: 852
global_step=144143, episodic_return=[708.73932455]
global_step=145144, episodic_return=[677.87964815]
SPS: 853
global_step=146145, episodic_return=[639.30191616]
global_step=147146, episodic_return=[547.27936933]
SPS: 853
global_step=148147, episodic_return=[702.49160763]
global_step=149148, episodic_return=[607.44041756]
SPS: 853
global_step=150149, episodic_return=[744.15124579]
global_step=151150, episodic_return=[802.50027404]
SPS: 853
global_step=152151, episodic_return=[572.07010819]
global_step=153152, episodic_return=[700.02308056]
SPS: 853
