/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 809
global_step=3002, episodic_return=[-543.07311218]
global_step=4003, episodic_return=[-411.73914108]
SPS: 818
global_step=5004, episodic_return=[-328.38119808]
global_step=6005, episodic_return=[-308.13648973]
SPS: 819
global_step=7006, episodic_return=[-341.11035279]
global_step=8007, episodic_return=[-397.34607444]
SPS: 823
global_step=9008, episodic_return=[-367.08029293]
global_step=10009, episodic_return=[-363.98212189]
SPS: 825
global_step=11010, episodic_return=[-331.18140703]
global_step=12011, episodic_return=[-310.88687637]
SPS: 826
global_step=13012, episodic_return=[-359.00577174]
global_step=14013, episodic_return=[-448.51255976]
SPS: 828
global_step=15014, episodic_return=[-307.31159141]
global_step=16015, episodic_return=[-455.89044814]
SPS: 828
global_step=17016, episodic_return=[-319.87609435]
global_step=18017, episodic_return=[-321.36211068]
SPS: 829
global_step=19018, episodic_return=[-408.92848534]
global_step=20019, episodic_return=[-460.24560704]
SPS: 829
global_step=21020, episodic_return=[-502.43112623]
global_step=22021, episodic_return=[-386.7580735]
SPS: 829
global_step=23022, episodic_return=[-260.17546668]
global_step=24023, episodic_return=[-317.4800851]
SPS: 828
global_step=25024, episodic_return=[-387.7891883]
global_step=26025, episodic_return=[-290.35110866]
SPS: 827
global_step=27026, episodic_return=[-348.28444648]
global_step=28027, episodic_return=[-331.33727716]
SPS: 828
global_step=29028, episodic_return=[-332.47125389]
global_step=30029, episodic_return=[-262.12184199]
SPS: 828
global_step=31030, episodic_return=[-278.56548012]
global_step=32031, episodic_return=[-314.18080646]
SPS: 828
global_step=33032, episodic_return=[-256.77463907]
global_step=34033, episodic_return=[-428.7753944]
SPS: 829
global_step=35034, episodic_return=[-272.32861659]
global_step=36035, episodic_return=[-266.19275594]
SPS: 828
global_step=37036, episodic_return=[-225.08758585]
global_step=38037, episodic_return=[-223.70869245]
SPS: 828
global_step=39038, episodic_return=[-248.62987451]
global_step=40039, episodic_return=[-225.87860544]
SPS: 827
global_step=41040, episodic_return=[-244.85050326]
global_step=42041, episodic_return=[-293.67298829]
SPS: 826
global_step=43042, episodic_return=[-300.95347082]
global_step=44043, episodic_return=[-299.0974934]
global_step=45044, episodic_return=[-261.46859497]
SPS: 825
global_step=46045, episodic_return=[-270.00924754]
global_step=47046, episodic_return=[-142.82538815]
SPS: 824
global_step=48047, episodic_return=[22.52971593]
global_step=49048, episodic_return=[-68.88590961]
SPS: 824
global_step=50049, episodic_return=[-6.32948099]
global_step=51050, episodic_return=[-75.54286032]
SPS: 824
global_step=52051, episodic_return=[-42.98928427]
global_step=53052, episodic_return=[-33.95158535]
SPS: 823
global_step=54053, episodic_return=[-163.95603293]
global_step=55054, episodic_return=[-26.10395806]
SPS: 824
global_step=56055, episodic_return=[-394.32909902]
global_step=57056, episodic_return=[143.43687658]
SPS: 824
global_step=58057, episodic_return=[105.03811926]
global_step=59058, episodic_return=[-129.86522807]
SPS: 825
global_step=60059, episodic_return=[-30.03839921]
global_step=61060, episodic_return=[-111.35753145]
SPS: 825
global_step=62061, episodic_return=[-42.87717902]
global_step=63062, episodic_return=[-100.26371243]
SPS: 826
global_step=64063, episodic_return=[20.90381254]
global_step=65064, episodic_return=[-148.55971537]
SPS: 826
global_step=66065, episodic_return=[2.28752432]
global_step=67066, episodic_return=[21.01477896]
SPS: 826
global_step=68067, episodic_return=[-311.2087628]
global_step=69068, episodic_return=[-26.8100481]
SPS: 827
global_step=70069, episodic_return=[-50.17559083]
global_step=71070, episodic_return=[-104.61035891]
SPS: 827
global_step=72071, episodic_return=[70.7121872]
global_step=73072, episodic_return=[-24.87583729]
SPS: 826
global_step=74073, episodic_return=[-69.57584477]
global_step=75074, episodic_return=[-188.28220511]
SPS: 827
global_step=76075, episodic_return=[-42.96994023]
global_step=77076, episodic_return=[86.61308718]
SPS: 827
global_step=78077, episodic_return=[14.72086847]
global_step=79078, episodic_return=[163.93101274]
SPS: 827
global_step=80079, episodic_return=[-198.27102625]
global_step=81080, episodic_return=[104.60847112]
SPS: 828
global_step=82081, episodic_return=[137.68970979]
global_step=83082, episodic_return=[191.58952333]
SPS: 828
global_step=84083, episodic_return=[-145.74689268]
global_step=85084, episodic_return=[-327.73844747]
SPS: 827
global_step=86085, episodic_return=[-140.63154488]
global_step=87086, episodic_return=[10.09783398]
SPS: 827
global_step=88087, episodic_return=[95.27280983]
global_step=89088, episodic_return=[106.97399323]
global_step=90089, episodic_return=[202.76740659]
SPS: 827
global_step=91090, episodic_return=[-148.77525726]
global_step=92091, episodic_return=[3.63829398]
SPS: 827
global_step=93092, episodic_return=[212.88291558]
global_step=94093, episodic_return=[49.48793901]
SPS: 826
global_step=95094, episodic_return=[-114.63239665]
global_step=96095, episodic_return=[-141.687758]
SPS: 826
global_step=97096, episodic_return=[103.7077986]
global_step=98097, episodic_return=[178.91223953]
SPS: 826
global_step=99098, episodic_return=[114.03051678]
global_step=100099, episodic_return=[91.2716287]
SPS: 826
global_step=101100, episodic_return=[45.41964835]
global_step=102101, episodic_return=[137.88193815]
SPS: 826
global_step=103102, episodic_return=[44.47738858]
global_step=104103, episodic_return=[35.14960318]
SPS: 826
global_step=105104, episodic_return=[131.6838267]
global_step=106105, episodic_return=[-155.57017675]
SPS: 826
global_step=107106, episodic_return=[-92.9394125]
global_step=108107, episodic_return=[228.29441205]
SPS: 826
global_step=109108, episodic_return=[50.48994144]
global_step=110109, episodic_return=[-207.65274934]
SPS: 825
global_step=111110, episodic_return=[63.98707341]
global_step=112111, episodic_return=[-5.46699506]
SPS: 825
global_step=113112, episodic_return=[42.18350623]
global_step=114113, episodic_return=[76.16701313]
SPS: 825
global_step=115114, episodic_return=[102.52019153]
global_step=116115, episodic_return=[160.17246804]
SPS: 826
global_step=117116, episodic_return=[219.58660397]
global_step=118117, episodic_return=[-66.45041806]
SPS: 826
global_step=119118, episodic_return=[255.08895287]
global_step=120119, episodic_return=[289.28858498]
SPS: 826
global_step=121120, episodic_return=[473.08708838]
global_step=122121, episodic_return=[20.43858366]
SPS: 826
global_step=123122, episodic_return=[224.54155037]
global_step=124123, episodic_return=[-23.53693692]
SPS: 826
global_step=125124, episodic_return=[30.0875796]
global_step=126125, episodic_return=[215.75963761]
SPS: 825
global_step=127126, episodic_return=[153.59803825]
global_step=128127, episodic_return=[131.70513626]
SPS: 825
global_step=129128, episodic_return=[-198.01675875]
global_step=130129, episodic_return=[104.00249486]
SPS: 824
global_step=131130, episodic_return=[251.32178683]
global_step=132131, episodic_return=[274.34404557]
SPS: 824
global_step=133132, episodic_return=[64.69856792]
global_step=134133, episodic_return=[-18.306717]
global_step=135134, episodic_return=[75.54006759]
SPS: 823
global_step=136135, episodic_return=[76.37575281]
global_step=137136, episodic_return=[135.20663311]
SPS: 823
global_step=138137, episodic_return=[365.61879992]
global_step=139138, episodic_return=[313.61694588]
SPS: 823
global_step=140139, episodic_return=[429.2651003]
global_step=141140, episodic_return=[428.38673045]
SPS: 822
global_step=142141, episodic_return=[210.44806427]
global_step=143142, episodic_return=[448.74195761]
SPS: 822
global_step=144143, episodic_return=[62.21936568]
global_step=145144, episodic_return=[-326.45832767]
SPS: 822
global_step=146145, episodic_return=[-99.38385347]
global_step=147146, episodic_return=[466.03417853]
SPS: 822
global_step=148147, episodic_return=[223.66860516]
global_step=149148, episodic_return=[-235.08208455]
SPS: 822
global_step=150149, episodic_return=[122.27980529]
global_step=151150, episodic_return=[460.71501127]
SPS: 822
global_step=152151, episodic_return=[-424.42131676]
global_step=153152, episodic_return=[601.20168194]
SPS: 822
global_step=154153, episodic_return=[601.90426509]
global_step=155154, episodic_return=[408.87937936]
SPS: 822
global_step=156155, episodic_return=[457.90919948]
global_step=157156, episodic_return=[292.57278744]
SPS: 822
global_step=158157, episodic_return=[455.97338175]
global_step=159158, episodic_return=[404.59470182]
SPS: 822
global_step=160159, episodic_return=[376.86971092]
global_step=161160, episodic_return=[440.73083701]
SPS: 821
global_step=162161, episodic_return=[257.0100951]
global_step=163162, episodic_return=[-258.77531312]
SPS: 821
global_step=164163, episodic_return=[293.54953162]
global_step=165164, episodic_return=[126.01029706]
SPS: 822
global_step=166165, episodic_return=[321.33103908]
global_step=167166, episodic_return=[391.28277221]
SPS: 822
global_step=168167, episodic_return=[-637.98886322]
global_step=169168, episodic_return=[338.24650476]
SPS: 822
global_step=170169, episodic_return=[215.85903786]
global_step=171170, episodic_return=[242.06217531]
SPS: 822
global_step=172171, episodic_return=[364.27312174]
global_step=173172, episodic_return=[483.90125818]
SPS: 822
global_step=174173, episodic_return=[476.85649857]
global_step=175174, episodic_return=[-105.63331936]
SPS: 823
global_step=176175, episodic_return=[373.18600676]
global_step=177176, episodic_return=[265.73822572]
SPS: 823
global_step=178177, episodic_return=[373.33684863]
global_step=179178, episodic_return=[174.1513971]
global_step=180179, episodic_return=[266.67039948]
SPS: 822
global_step=181180, episodic_return=[464.76540963]
global_step=182181, episodic_return=[297.92463284]
SPS: 822
global_step=183182, episodic_return=[-7.9287881]
global_step=184183, episodic_return=[368.44119907]
SPS: 823
global_step=185184, episodic_return=[83.58191769]
global_step=186185, episodic_return=[114.617368]
SPS: 822
global_step=187186, episodic_return=[226.41165457]
global_step=188187, episodic_return=[293.98985381]
SPS: 822
global_step=189188, episodic_return=[246.71106271]
global_step=190189, episodic_return=[183.21292341]
SPS: 822
global_step=191190, episodic_return=[62.18388149]
global_step=192191, episodic_return=[299.31424571]
SPS: 822
global_step=193192, episodic_return=[106.98828203]
global_step=194193, episodic_return=[68.7881249]
SPS: 822
global_step=195194, episodic_return=[-20.69456269]
global_step=196195, episodic_return=[260.15626767]
SPS: 822
global_step=197196, episodic_return=[-145.7391476]
global_step=198197, episodic_return=[42.5236828]
SPS: 822
global_step=199198, episodic_return=[266.97606278]
global_step=200199, episodic_return=[209.58739006]
SPS: 822
global_step=201200, episodic_return=[288.90821562]
global_step=202201, episodic_return=[61.45376548]
SPS: 822
global_step=203202, episodic_return=[124.0839713]
global_step=204203, episodic_return=[-2.90442127]
SPS: 822
global_step=205204, episodic_return=[83.12901593]
global_step=206205, episodic_return=[51.12468601]
SPS: 822
global_step=207206, episodic_return=[69.83409164]
global_step=208207, episodic_return=[187.06399826]
SPS: 822
global_step=209208, episodic_return=[153.75971036]
global_step=210209, episodic_return=[244.54424491]
SPS: 822
global_step=211210, episodic_return=[201.09122356]
global_step=212211, episodic_return=[247.13859833]
SPS: 822
global_step=213212, episodic_return=[86.6335294]
global_step=214213, episodic_return=[132.86354482]
SPS: 822
global_step=215214, episodic_return=[63.09298886]
global_step=216215, episodic_return=[-8.70786069]
SPS: 822
global_step=217216, episodic_return=[218.42391171]
global_step=218217, episodic_return=[-3.78730745]
SPS: 822
global_step=219218, episodic_return=[-82.50040949]
global_step=220219, episodic_return=[207.30484114]
SPS: 822
global_step=221220, episodic_return=[-47.620792]
global_step=222221, episodic_return=[270.76590108]
