/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 856
global_step=3002, episodic_return=[-365.62274435]
global_step=4003, episodic_return=[-290.11732342]
SPS: 856
global_step=5004, episodic_return=[-429.89750841]
global_step=6005, episodic_return=[-322.02137467]
SPS: 857
global_step=7006, episodic_return=[-313.50950336]
global_step=8007, episodic_return=[-369.13649491]
SPS: 857
global_step=9008, episodic_return=[-507.90207221]
global_step=10009, episodic_return=[-317.19017459]
SPS: 858
global_step=11010, episodic_return=[-596.84086711]
global_step=12011, episodic_return=[-333.99805915]
SPS: 857
global_step=13012, episodic_return=[-291.6490512]
global_step=14013, episodic_return=[-353.79367569]
SPS: 859
global_step=15014, episodic_return=[-293.09772761]
global_step=16015, episodic_return=[-340.78255643]
SPS: 860
global_step=17016, episodic_return=[-258.57079316]
global_step=18017, episodic_return=[-304.60632542]
SPS: 861
global_step=19018, episodic_return=[-303.06112076]
global_step=20019, episodic_return=[-213.91243125]
SPS: 862
global_step=21020, episodic_return=[-254.0643061]
global_step=22021, episodic_return=[-277.63052595]
SPS: 863
global_step=23022, episodic_return=[-251.11248926]
global_step=24023, episodic_return=[-241.46533221]
SPS: 863
global_step=25024, episodic_return=[-251.16614142]
global_step=26025, episodic_return=[-172.01447102]
SPS: 863
global_step=27026, episodic_return=[-134.51964658]
global_step=28027, episodic_return=[-206.36676808]
SPS: 863
global_step=29028, episodic_return=[-199.63909126]
global_step=30029, episodic_return=[-141.28352859]
SPS: 864
global_step=31030, episodic_return=[-96.53823489]
global_step=32031, episodic_return=[-186.68282155]
SPS: 864
global_step=33032, episodic_return=[-69.44387675]
global_step=34033, episodic_return=[-127.90420334]
SPS: 864
global_step=35034, episodic_return=[-108.99015135]
global_step=36035, episodic_return=[-73.07490305]
SPS: 865
global_step=37036, episodic_return=[-270.96849691]
global_step=38037, episodic_return=[-136.73523858]
SPS: 864
global_step=39038, episodic_return=[-49.23901269]
global_step=40039, episodic_return=[-99.85790563]
SPS: 865
global_step=41040, episodic_return=[-97.20804537]
global_step=42041, episodic_return=[-47.19664351]
SPS: 865
global_step=43042, episodic_return=[-49.07288889]
global_step=44043, episodic_return=[11.7461876]
global_step=45044, episodic_return=[-57.44042818]
SPS: 865
global_step=46045, episodic_return=[23.16111251]
global_step=47046, episodic_return=[-116.42123457]
SPS: 864
global_step=48047, episodic_return=[71.21631073]
global_step=49048, episodic_return=[-68.81535657]
SPS: 865
global_step=50049, episodic_return=[-236.73469046]
global_step=51050, episodic_return=[-41.26037008]
SPS: 864
global_step=52051, episodic_return=[11.33538598]
global_step=53052, episodic_return=[29.21039298]
SPS: 863
global_step=54053, episodic_return=[130.63089712]
global_step=55054, episodic_return=[89.5973084]
SPS: 861
global_step=56055, episodic_return=[62.39051139]
global_step=57056, episodic_return=[120.42091497]
SPS: 861
global_step=58057, episodic_return=[-18.16020016]
global_step=59058, episodic_return=[-1.56067047]
SPS: 861
global_step=60059, episodic_return=[-117.54036573]
global_step=61060, episodic_return=[37.84409238]
SPS: 861
global_step=62061, episodic_return=[63.35663036]
global_step=63062, episodic_return=[116.13959411]
SPS: 861
global_step=64063, episodic_return=[-188.71483723]
global_step=65064, episodic_return=[23.9661419]
SPS: 861
global_step=66065, episodic_return=[-29.92346209]
global_step=67066, episodic_return=[84.63500087]
