/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 774
global_step=3002, episodic_return=[-432.96245681]
global_step=4003, episodic_return=[-470.80484989]
SPS: 774
global_step=5004, episodic_return=[-391.54867012]
global_step=6005, episodic_return=[-299.95134254]
SPS: 776
global_step=7006, episodic_return=[-183.08675465]
global_step=8007, episodic_return=[-351.02353597]
SPS: 777
global_step=9008, episodic_return=[-324.52036195]
global_step=10009, episodic_return=[-347.70291856]
SPS: 770
global_step=11010, episodic_return=[-319.27168173]
global_step=12011, episodic_return=[-256.37848612]
SPS: 769
global_step=13012, episodic_return=[-308.75643214]
global_step=14013, episodic_return=[-344.80054849]
SPS: 771
global_step=15014, episodic_return=[-332.07551973]
global_step=16015, episodic_return=[-331.44576956]
SPS: 773
global_step=17016, episodic_return=[-304.06762898]
global_step=18017, episodic_return=[-416.45308381]
SPS: 772
global_step=19018, episodic_return=[-242.02314392]
global_step=20019, episodic_return=[-429.44878993]
SPS: 772
global_step=21020, episodic_return=[-290.01345523]
global_step=22021, episodic_return=[-301.88249971]
SPS: 772
global_step=23022, episodic_return=[-306.51766794]
global_step=24023, episodic_return=[-277.40125328]
SPS: 773
global_step=25024, episodic_return=[-276.96880512]
global_step=26025, episodic_return=[-214.27205877]
SPS: 773
global_step=27026, episodic_return=[-316.09916908]
global_step=28027, episodic_return=[-319.86877656]
SPS: 771
global_step=29028, episodic_return=[-159.72200123]
global_step=30029, episodic_return=[-333.89770394]
SPS: 768
global_step=31030, episodic_return=[-155.01201515]
global_step=32031, episodic_return=[-146.05320321]
SPS: 766
global_step=33032, episodic_return=[-294.26326965]
global_step=34033, episodic_return=[-277.40679602]
SPS: 764
global_step=35034, episodic_return=[-262.29757283]
global_step=36035, episodic_return=[-211.09126735]
SPS: 763
global_step=37036, episodic_return=[-271.81377341]
global_step=38037, episodic_return=[-166.97085744]
SPS: 761
global_step=39038, episodic_return=[-234.53935123]
global_step=40039, episodic_return=[-224.46882994]
SPS: 759
global_step=41040, episodic_return=[-208.05368289]
global_step=42041, episodic_return=[-233.23893344]
SPS: 759
global_step=43042, episodic_return=[-222.11513334]
global_step=44043, episodic_return=[-167.63008076]
global_step=45044, episodic_return=[-153.44930365]
SPS: 761
global_step=46045, episodic_return=[-144.81063094]
global_step=47046, episodic_return=[-152.0910441]
SPS: 763
global_step=48047, episodic_return=[-173.9846299]
global_step=49048, episodic_return=[-96.81377485]
SPS: 764
global_step=50049, episodic_return=[-165.01184726]
global_step=51050, episodic_return=[-216.35732791]
SPS: 765
global_step=52051, episodic_return=[-124.13442231]
global_step=53052, episodic_return=[-196.56397631]
SPS: 767
global_step=54053, episodic_return=[-217.01950341]
global_step=55054, episodic_return=[-161.54793957]
SPS: 768
global_step=56055, episodic_return=[-207.23850797]
global_step=57056, episodic_return=[-178.86821588]
SPS: 768
global_step=58057, episodic_return=[-131.68110678]
global_step=59058, episodic_return=[-141.15372783]
SPS: 770
global_step=60059, episodic_return=[-112.78828463]
global_step=61060, episodic_return=[-43.98799391]
SPS: 772
global_step=62061, episodic_return=[-36.0056344]
global_step=63062, episodic_return=[-36.20036524]
SPS: 774
global_step=64063, episodic_return=[-103.45868815]
global_step=65064, episodic_return=[-131.91012386]
SPS: 775
global_step=66065, episodic_return=[-107.61014393]
global_step=67066, episodic_return=[-75.34895722]
SPS: 777
global_step=68067, episodic_return=[-66.0630347]
global_step=69068, episodic_return=[-260.61130695]
SPS: 779
global_step=70069, episodic_return=[-38.39539269]
global_step=71070, episodic_return=[-38.45191761]
SPS: 781
global_step=72071, episodic_return=[-138.54643659]
global_step=73072, episodic_return=[-41.45414468]
SPS: 782
