/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 790
global_step=3002, episodic_return=[-524.56596358]
global_step=4003, episodic_return=[-400.84076028]
SPS: 762
global_step=5004, episodic_return=[-359.11549731]
global_step=6005, episodic_return=[-492.92778249]
SPS: 722
global_step=7006, episodic_return=[-343.78562387]
global_step=8007, episodic_return=[-179.51833275]
SPS: 740
global_step=9008, episodic_return=[-337.471418]
global_step=10009, episodic_return=[-322.81794925]
SPS: 753
global_step=11010, episodic_return=[-368.01444748]
global_step=12011, episodic_return=[-296.88035329]
SPS: 762
global_step=13012, episodic_return=[-241.9154651]
global_step=14013, episodic_return=[-334.6628745]
SPS: 767
global_step=15014, episodic_return=[-336.11115298]
global_step=16015, episodic_return=[-309.1227545]
SPS: 768
global_step=17016, episodic_return=[-341.33439906]
global_step=18017, episodic_return=[-324.95944763]
SPS: 771
global_step=19018, episodic_return=[-437.71438401]
global_step=20019, episodic_return=[-529.2188303]
SPS: 774
global_step=21020, episodic_return=[-380.44793251]
global_step=22021, episodic_return=[-335.31428173]
SPS: 776
global_step=23022, episodic_return=[-373.2646356]
global_step=24023, episodic_return=[-297.74537344]
SPS: 777
global_step=25024, episodic_return=[-296.12859912]
global_step=26025, episodic_return=[-308.885202]
SPS: 779
global_step=27026, episodic_return=[-329.39123088]
global_step=28027, episodic_return=[-282.60740287]
SPS: 780
global_step=29028, episodic_return=[-204.11199418]
global_step=30029, episodic_return=[-275.07421924]
SPS: 782
global_step=31030, episodic_return=[-313.62578876]
global_step=32031, episodic_return=[-305.30906843]
SPS: 781
global_step=33032, episodic_return=[-299.44141467]
global_step=34033, episodic_return=[-391.42533791]
SPS: 782
global_step=35034, episodic_return=[-259.8775559]
global_step=36035, episodic_return=[-266.44501902]
SPS: 782
global_step=37036, episodic_return=[-333.86997931]
global_step=38037, episodic_return=[-325.03161131]
SPS: 783
global_step=39038, episodic_return=[-259.4767369]
global_step=40039, episodic_return=[-274.46220315]
SPS: 785
global_step=41040, episodic_return=[-289.80690329]
global_step=42041, episodic_return=[-304.72463338]
SPS: 784
global_step=43042, episodic_return=[-219.40372556]
global_step=44043, episodic_return=[-229.9669641]
global_step=45044, episodic_return=[-283.58021261]
SPS: 784
global_step=46045, episodic_return=[-190.15289373]
global_step=47046, episodic_return=[-271.0563545]
SPS: 785
global_step=48047, episodic_return=[-257.18933374]
global_step=49048, episodic_return=[-234.38371093]
SPS: 785
global_step=50049, episodic_return=[-319.32506685]
global_step=51050, episodic_return=[-292.61811502]
SPS: 787
global_step=52051, episodic_return=[-300.83960442]
global_step=53052, episodic_return=[-311.16578769]
SPS: 788
global_step=54053, episodic_return=[-300.81962432]
global_step=55054, episodic_return=[-260.31108885]
SPS: 789
global_step=56055, episodic_return=[-229.52392191]
global_step=57056, episodic_return=[-272.50366537]
SPS: 789
global_step=58057, episodic_return=[-212.32438875]
global_step=59058, episodic_return=[-230.14854823]
SPS: 789
global_step=60059, episodic_return=[-272.73754818]
global_step=61060, episodic_return=[-151.2435128]
SPS: 789
global_step=62061, episodic_return=[-236.33763142]
global_step=63062, episodic_return=[-251.81370022]
SPS: 789
global_step=64063, episodic_return=[-292.47423134]
global_step=65064, episodic_return=[-317.67677956]
SPS: 790
global_step=66065, episodic_return=[-145.79422807]
global_step=67066, episodic_return=[-231.62674481]
SPS: 790
global_step=68067, episodic_return=[-124.2662834]
global_step=69068, episodic_return=[-170.97394992]
SPS: 790
global_step=70069, episodic_return=[-277.13692014]
global_step=71070, episodic_return=[-119.90607171]
SPS: 791
global_step=72071, episodic_return=[-159.84489603]
global_step=73072, episodic_return=[-131.21865357]
SPS: 791
global_step=74073, episodic_return=[-255.70801184]
global_step=75074, episodic_return=[-177.3521389]
SPS: 792
global_step=76075, episodic_return=[-155.50399366]
global_step=77076, episodic_return=[-183.297618]
SPS: 792
global_step=78077, episodic_return=[-265.61381015]
global_step=79078, episodic_return=[-106.87627415]
SPS: 792
global_step=80079, episodic_return=[-58.48554525]
global_step=81080, episodic_return=[-204.54915896]
SPS: 793
global_step=82081, episodic_return=[-133.54253334]
global_step=83082, episodic_return=[-156.26127756]
SPS: 793
global_step=84083, episodic_return=[-174.42892242]
global_step=85084, episodic_return=[-104.31904907]
SPS: 794
global_step=86085, episodic_return=[-130.45224466]
global_step=87086, episodic_return=[25.55621412]
SPS: 795
global_step=88087, episodic_return=[-276.15167544]
global_step=89088, episodic_return=[-199.52405768]
global_step=90089, episodic_return=[-190.25410291]
SPS: 795
global_step=91090, episodic_return=[-50.93470729]
global_step=92091, episodic_return=[-182.70194001]
SPS: 795
global_step=93092, episodic_return=[37.70040749]
global_step=94093, episodic_return=[-35.8514432]
SPS: 795
global_step=95094, episodic_return=[5.49585723]
global_step=96095, episodic_return=[-122.66957932]
SPS: 795
