/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 735
global_step=3002, episodic_return=[-392.76032983]
global_step=4003, episodic_return=[-335.69356561]
SPS: 741
global_step=5004, episodic_return=[-354.7097847]
global_step=6005, episodic_return=[-275.58884168]
SPS: 742
global_step=7006, episodic_return=[-264.72415365]
global_step=8007, episodic_return=[-385.42774247]
SPS: 743
global_step=9008, episodic_return=[-311.965404]
global_step=10009, episodic_return=[-296.11257337]
SPS: 744
global_step=11010, episodic_return=[-321.91739922]
global_step=12011, episodic_return=[-307.75898321]
SPS: 742
global_step=13012, episodic_return=[-420.28355322]
global_step=14013, episodic_return=[-230.15590336]
SPS: 741
global_step=15014, episodic_return=[-351.75537983]
global_step=16015, episodic_return=[-232.95843529]
SPS: 739
global_step=17016, episodic_return=[-374.49658701]
global_step=18017, episodic_return=[-326.38875113]
SPS: 739
global_step=19018, episodic_return=[-329.06666251]
global_step=20019, episodic_return=[-432.60741036]
SPS: 739
global_step=21020, episodic_return=[-342.93491181]
global_step=22021, episodic_return=[-437.06394001]
SPS: 740
global_step=23022, episodic_return=[-323.08008165]
global_step=24023, episodic_return=[-371.44672079]
SPS: 739
global_step=25024, episodic_return=[-292.92331831]
global_step=26025, episodic_return=[-285.95016346]
SPS: 739
global_step=27026, episodic_return=[-414.1188133]
global_step=28027, episodic_return=[-254.12375856]
SPS: 739
global_step=29028, episodic_return=[-284.74760459]
global_step=30029, episodic_return=[-296.64586212]
SPS: 738
global_step=31030, episodic_return=[-288.71358074]
global_step=32031, episodic_return=[-275.29702491]
SPS: 739
global_step=33032, episodic_return=[-257.3025528]
global_step=34033, episodic_return=[-411.26562505]
SPS: 739
global_step=35034, episodic_return=[-337.61041848]
global_step=36035, episodic_return=[-285.43447355]
SPS: 739
global_step=37036, episodic_return=[-277.35542553]
global_step=38037, episodic_return=[-250.98332118]
SPS: 739
global_step=39038, episodic_return=[-256.58230421]
global_step=40039, episodic_return=[-338.91041422]
SPS: 739
global_step=41040, episodic_return=[-215.64034024]
global_step=42041, episodic_return=[-341.95209031]
SPS: 739
global_step=43042, episodic_return=[-244.48111342]
global_step=44043, episodic_return=[-227.20696334]
global_step=45044, episodic_return=[-275.76908085]
SPS: 739
global_step=46045, episodic_return=[-223.9653718]
global_step=47046, episodic_return=[-288.58707321]
SPS: 739
global_step=48047, episodic_return=[-294.26972748]
global_step=49048, episodic_return=[-325.75090943]
SPS: 740
global_step=50049, episodic_return=[-228.37799451]
global_step=51050, episodic_return=[-296.24150637]
SPS: 740
global_step=52051, episodic_return=[-287.37545485]
global_step=53052, episodic_return=[-303.81668116]
SPS: 740
global_step=54053, episodic_return=[-204.30190717]
global_step=55054, episodic_return=[-255.58112176]
SPS: 740
global_step=56055, episodic_return=[-317.20465011]
global_step=57056, episodic_return=[-212.31535487]
SPS: 741
global_step=58057, episodic_return=[-310.14646323]
global_step=59058, episodic_return=[-248.32476793]
SPS: 741
global_step=60059, episodic_return=[-224.81463484]
global_step=61060, episodic_return=[-218.43204967]
SPS: 741
global_step=62061, episodic_return=[-276.90833657]
global_step=63062, episodic_return=[-229.43965128]
SPS: 742
global_step=64063, episodic_return=[-205.96498453]
global_step=65064, episodic_return=[-155.29516705]
SPS: 742
global_step=66065, episodic_return=[-230.88108755]
global_step=67066, episodic_return=[-312.1588194]
SPS: 742
global_step=68067, episodic_return=[-196.48464536]
global_step=69068, episodic_return=[-208.696816]
SPS: 742
global_step=70069, episodic_return=[-279.73090898]
global_step=71070, episodic_return=[-165.35397692]
SPS: 742
global_step=72071, episodic_return=[-219.07112807]
global_step=73072, episodic_return=[-163.51399936]
SPS: 742
global_step=74073, episodic_return=[-220.88190241]
global_step=75074, episodic_return=[-253.76642001]
SPS: 742
global_step=76075, episodic_return=[-188.43411287]
global_step=77076, episodic_return=[-126.72386079]
SPS: 741
global_step=78077, episodic_return=[-187.19360953]
global_step=79078, episodic_return=[-147.73269675]
SPS: 741
global_step=80079, episodic_return=[-156.86434812]
global_step=81080, episodic_return=[-257.40150608]
SPS: 741
global_step=82081, episodic_return=[-193.35007688]
global_step=83082, episodic_return=[-325.87025204]
SPS: 741
global_step=84083, episodic_return=[-251.39329941]
