/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 704
global_step=3002, episodic_return=[-326.5840395]
global_step=4003, episodic_return=[-373.27662462]
SPS: 725
global_step=5004, episodic_return=[-203.30998391]
global_step=6005, episodic_return=[-280.21759762]
SPS: 731
global_step=7006, episodic_return=[-325.12272544]
global_step=8007, episodic_return=[-234.05069881]
SPS: 735
global_step=9008, episodic_return=[-337.96671053]
global_step=10009, episodic_return=[-395.5783975]
SPS: 737
global_step=11010, episodic_return=[-374.63877455]
global_step=12011, episodic_return=[-370.31203168]
SPS: 739
global_step=13012, episodic_return=[-370.48205299]
global_step=14013, episodic_return=[-350.00822722]
SPS: 738
global_step=15014, episodic_return=[-317.11501497]
global_step=16015, episodic_return=[-280.90443023]
SPS: 734
global_step=17016, episodic_return=[-279.52179062]
global_step=18017, episodic_return=[-416.01179873]
SPS: 733
global_step=19018, episodic_return=[-404.08575892]
global_step=20019, episodic_return=[-319.10269159]
SPS: 733
global_step=21020, episodic_return=[-333.6478693]
global_step=22021, episodic_return=[-471.80035904]
SPS: 733
global_step=23022, episodic_return=[-422.22491661]
global_step=24023, episodic_return=[-294.51918269]
SPS: 734
global_step=25024, episodic_return=[-275.02443579]
global_step=26025, episodic_return=[-382.2390854]
SPS: 735
global_step=27026, episodic_return=[-351.19749706]
global_step=28027, episodic_return=[-337.09856035]
SPS: 735
global_step=29028, episodic_return=[-204.79941339]
global_step=30029, episodic_return=[-468.8817299]
SPS: 739
global_step=31030, episodic_return=[-335.95197098]
global_step=32031, episodic_return=[-255.42735264]
SPS: 743
global_step=33032, episodic_return=[-246.63755509]
global_step=34033, episodic_return=[-377.03683706]
SPS: 747
global_step=35034, episodic_return=[-367.91898081]
global_step=36035, episodic_return=[-337.52386458]
SPS: 750
global_step=37036, episodic_return=[-381.12241145]
global_step=38037, episodic_return=[-367.45746056]
SPS: 745
global_step=39038, episodic_return=[-311.61005418]
global_step=40039, episodic_return=[-495.97916246]
SPS: 741
global_step=41040, episodic_return=[-380.23713524]
global_step=42041, episodic_return=[-395.93353875]
SPS: 744
global_step=43042, episodic_return=[-344.15428651]
global_step=44043, episodic_return=[-515.23129652]
global_step=45044, episodic_return=[-294.60555142]
SPS: 747
global_step=46045, episodic_return=[-310.03010363]
global_step=47046, episodic_return=[-332.40608701]
SPS: 750
global_step=48047, episodic_return=[-486.51025439]
global_step=49048, episodic_return=[-264.51275927]
SPS: 753
global_step=50049, episodic_return=[-217.16710044]
global_step=51050, episodic_return=[-413.15459995]
SPS: 755
global_step=52051, episodic_return=[-370.78767842]
global_step=53052, episodic_return=[-532.06982651]
SPS: 755
global_step=54053, episodic_return=[-269.32966749]
global_step=55054, episodic_return=[-283.02555391]
SPS: 756
global_step=56055, episodic_return=[-275.17548979]
global_step=57056, episodic_return=[-428.08364071]
SPS: 755
global_step=58057, episodic_return=[-270.63750313]
global_step=59058, episodic_return=[-238.41076135]
SPS: 754
global_step=60059, episodic_return=[-457.81834192]
global_step=61060, episodic_return=[-352.92707247]
SPS: 753
global_step=62061, episodic_return=[-342.18485188]
global_step=63062, episodic_return=[-369.00358449]
SPS: 753
global_step=64063, episodic_return=[-293.7843414]
global_step=65064, episodic_return=[-288.24392101]
SPS: 752
global_step=66065, episodic_return=[-95.51426697]
global_step=67066, episodic_return=[-426.39087649]
SPS: 751
global_step=68067, episodic_return=[-453.63283798]
global_step=69068, episodic_return=[-377.23628993]
SPS: 752
global_step=70069, episodic_return=[-300.60755032]
global_step=71070, episodic_return=[-361.30663142]
SPS: 752
global_step=72071, episodic_return=[-357.56885803]
global_step=73072, episodic_return=[-376.59585707]
SPS: 751
global_step=74073, episodic_return=[-273.07573019]
global_step=75074, episodic_return=[-407.13153611]
SPS: 749
global_step=76075, episodic_return=[-357.02350491]
global_step=77076, episodic_return=[-302.70806949]
SPS: 749
global_step=78077, episodic_return=[-354.47726473]
global_step=79078, episodic_return=[-310.08251048]
SPS: 748
global_step=80079, episodic_return=[-344.15346573]
global_step=81080, episodic_return=[-301.58717266]
SPS: 748
global_step=82081, episodic_return=[-391.65247323]
global_step=83082, episodic_return=[-205.41919208]
SPS: 748
global_step=84083, episodic_return=[-291.14637407]
global_step=85084, episodic_return=[-324.34264238]
SPS: 747
global_step=86085, episodic_return=[-301.65691203]
global_step=87086, episodic_return=[-106.59878026]
SPS: 747
global_step=88087, episodic_return=[-403.82499708]
global_step=89088, episodic_return=[-254.24022584]
global_step=90089, episodic_return=[-324.19462794]
SPS: 746
global_step=91090, episodic_return=[-310.14481339]
global_step=92091, episodic_return=[-269.34664564]
SPS: 745
global_step=93092, episodic_return=[-342.36543613]
global_step=94093, episodic_return=[-258.48981078]
SPS: 744
global_step=95094, episodic_return=[-363.23748261]
global_step=96095, episodic_return=[-322.47221559]
SPS: 744
global_step=97096, episodic_return=[-197.42651573]
global_step=98097, episodic_return=[-272.41311071]
SPS: 743
global_step=99098, episodic_return=[-167.73257057]
global_step=100099, episodic_return=[-238.3274512]
SPS: 742
global_step=101100, episodic_return=[-297.09365389]
global_step=102101, episodic_return=[-432.23856292]
SPS: 741
global_step=103102, episodic_return=[-236.18492185]
global_step=104103, episodic_return=[-279.95762828]
SPS: 740
global_step=105104, episodic_return=[-385.30502642]
global_step=106105, episodic_return=[-307.46813602]
SPS: 740
global_step=107106, episodic_return=[-275.05124571]
