/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 713
global_step=3002, episodic_return=[-363.22892052]
global_step=4003, episodic_return=[-253.56547205]
SPS: 718
global_step=5004, episodic_return=[-283.36672446]
global_step=6005, episodic_return=[-347.43661006]
SPS: 720
global_step=7006, episodic_return=[-363.86333378]
global_step=8007, episodic_return=[-312.29686904]
SPS: 720
global_step=9008, episodic_return=[-394.85987306]
global_step=10009, episodic_return=[-379.84233771]
SPS: 720
global_step=11010, episodic_return=[-385.18179534]
global_step=12011, episodic_return=[-365.1389907]
SPS: 721
global_step=13012, episodic_return=[-366.28953826]
global_step=14013, episodic_return=[-406.6074208]
SPS: 722
global_step=15014, episodic_return=[-335.12079027]
global_step=16015, episodic_return=[-407.18138478]
SPS: 722
global_step=17016, episodic_return=[-445.52678695]
global_step=18017, episodic_return=[-403.03273071]
SPS: 721
global_step=19018, episodic_return=[-319.11861297]
global_step=20019, episodic_return=[-752.67563585]
SPS: 721
global_step=21020, episodic_return=[-469.73678451]
global_step=22021, episodic_return=[-382.35721204]
SPS: 721
global_step=23022, episodic_return=[-455.5530113]
global_step=24023, episodic_return=[-396.50536505]
SPS: 720
global_step=25024, episodic_return=[-325.77835043]
global_step=26025, episodic_return=[-296.37288026]
SPS: 718
global_step=27026, episodic_return=[-375.82997786]
global_step=28027, episodic_return=[-349.22151871]
SPS: 717
global_step=29028, episodic_return=[-240.47074173]
global_step=30029, episodic_return=[-398.58144079]
SPS: 719
global_step=31030, episodic_return=[-354.27122143]
global_step=32031, episodic_return=[-436.17929983]
SPS: 720
global_step=33032, episodic_return=[-300.5843593]
global_step=34033, episodic_return=[-551.25052606]
SPS: 720
global_step=35034, episodic_return=[-362.13000866]
