/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 653
global_step=3002, episodic_return=[-318.65913211]
global_step=4003, episodic_return=[-471.6266104]
SPS: 632
global_step=5004, episodic_return=[-377.46816524]
global_step=6005, episodic_return=[-313.82007528]
SPS: 672
global_step=7006, episodic_return=[-333.24385637]
global_step=8007, episodic_return=[-430.35948789]
SPS: 695
global_step=9008, episodic_return=[-308.52577848]
global_step=10009, episodic_return=[-327.87366003]
SPS: 710
global_step=11010, episodic_return=[-385.15882707]
global_step=12011, episodic_return=[-419.16697728]
SPS: 720
global_step=13012, episodic_return=[-337.30129583]
global_step=14013, episodic_return=[-299.60318138]
SPS: 729
global_step=15014, episodic_return=[-324.84076434]
global_step=16015, episodic_return=[-309.94611564]
SPS: 737
global_step=17016, episodic_return=[-268.51449271]
global_step=18017, episodic_return=[-304.54927836]
SPS: 742
global_step=19018, episodic_return=[-337.72733873]
global_step=20019, episodic_return=[-377.55312821]
SPS: 745
global_step=21020, episodic_return=[-450.1147745]
global_step=22021, episodic_return=[-450.03890685]
SPS: 748
global_step=23022, episodic_return=[-275.01793566]
global_step=24023, episodic_return=[-479.02698849]
SPS: 751
global_step=25024, episodic_return=[-242.49135845]
global_step=26025, episodic_return=[-371.17727963]
SPS: 752
global_step=27026, episodic_return=[-323.95343889]
global_step=28027, episodic_return=[-349.3162047]
SPS: 754
global_step=29028, episodic_return=[-287.27916732]
global_step=30029, episodic_return=[-466.29933904]
SPS: 755
global_step=31030, episodic_return=[-306.78469219]
global_step=32031, episodic_return=[-355.48014406]
SPS: 757
global_step=33032, episodic_return=[-335.17135261]
global_step=34033, episodic_return=[-356.37119819]
SPS: 759
global_step=35034, episodic_return=[-356.05445262]
global_step=36035, episodic_return=[-295.71209972]
SPS: 761
global_step=37036, episodic_return=[-379.6799756]
global_step=38037, episodic_return=[-314.69596251]
SPS: 762
global_step=39038, episodic_return=[-319.62660314]
global_step=40039, episodic_return=[-548.48209029]
SPS: 763
global_step=41040, episodic_return=[-370.35898787]
global_step=42041, episodic_return=[-401.39437793]
SPS: 763
global_step=43042, episodic_return=[-339.39691159]
global_step=44043, episodic_return=[-448.47114742]
global_step=45044, episodic_return=[-316.75723243]
SPS: 764
global_step=46045, episodic_return=[-258.12566351]
global_step=47046, episodic_return=[-247.31614251]
SPS: 765
global_step=48047, episodic_return=[-458.81612686]
global_step=49048, episodic_return=[-322.53556684]
SPS: 767
global_step=50049, episodic_return=[-229.83114914]
global_step=51050, episodic_return=[-407.15947641]
SPS: 767
global_step=52051, episodic_return=[-347.19778059]
global_step=53052, episodic_return=[-460.51197707]
SPS: 768
global_step=54053, episodic_return=[-358.87511135]
